symbol,date,open,high,low,close,volume,adjusted
MGLU3.SA,2012-05-01,0.355625,0.392812,0.2675,0.291562,353811200,0.26289
MGLU3.SA,2012-06-01,0.285625,0.320312,0.272812,0.29375,193897600,0.265208
MGLU3.SA,2012-07-01,0.295312,0.324375,0.276875,0.320312,163385600,0.28919
MGLU3.SA,2012-08-01,0.32,0.367187,0.312812,0.353125,288870400,0.318814
MGLU3.SA,2012-09-01,0.353125,0.414062,0.339375,0.3825,305430400,0.345335
MGLU3.SA,2012-10-01,0.379375,0.41,0.34375,0.353437,238160000,0.319096
MGLU3.SA,2012-11-01,0.3525,0.369062,0.322187,0.351562,228720000,0.317403
MGLU3.SA,2012-12-01,0.35625,0.391875,0.34125,0.379687,254896000,0.342796
MGLU3.SA,2013-01-01,0.379687,0.4275,0.354687,0.375,525603200,0.338564
MGLU3.SA,2013-02-01,0.375,0.401562,0.309375,0.316875,496838400,0.286087
MGLU3.SA,2013-03-01,0.3125,0.313125,0.274062,0.278125,382822400,0.251102
MGLU3.SA,2013-04-01,0.28625,0.296875,0.217812,0.22375,445648000,0.20201
MGLU3.SA,2013-05-01,0.22375,0.293125,0.220937,0.254687,553513600,0.229941
MGLU3.SA,2013-06-01,0.256875,0.27,0.168125,0.168125,581168000,0.151789
MGLU3.SA,2013-07-01,0.179687,0.194687,0.145312,0.159687,844908800,0.144171
MGLU3.SA,2013-08-01,0.16,0.216562,0.15375,0.179375,1012169600,0.161946
MGLU3.SA,2013-09-01,0.180625,0.245312,0.180625,0.235937,530294400,0.213013
MGLU3.SA,2013-10-01,0.237812,0.307187,0.2275,0.296875,572563200,0.26803
MGLU3.SA,2013-11-01,0.298437,0.321562,0.254375,0.2625,494736000,0.236995
MGLU3.SA,2013-12-01,0.2625,0.265312,0.2225,0.235937,541820800,0.213013
MGLU3.SA,2014-01-01,0.235937,0.276562,0.217187,0.248437,534499200,0.224298
MGLU3.SA,2014-02-01,0.244375,0.259062,0.219062,0.22,701382400,0.198624
MGLU3.SA,2014-03-01,0.22,0.224375,0.184375,0.2025,738825600,0.18451
MGLU3.SA,2014-04-01,0.203125,0.23875,0.198437,0.2375,473792000,0.216401
MGLU3.SA,2014-05-01,0.2375,0.281875,0.2375,0.254375,780432000,0.235366
MGLU3.SA,2014-06-01,0.255,0.297812,0.2375,0.287187,737321600,0.265726
MGLU3.SA,2014-07-01,0.2875,0.30625,0.265312,0.279687,580057600,0.258787
MGLU3.SA,2014-08-01,0.279687,0.285937,0.262187,0.28125,439177600,0.260233
MGLU3.SA,2014-09-01,0.280937,0.292812,0.224062,0.236875,606374400,0.219174
MGLU3.SA,2014-10-01,0.235937,0.270312,0.2,0.257812,550518400,0.238546
MGLU3.SA,2014-11-01,0.2625,0.274687,0.239062,0.248437,374358400,0.229872
MGLU3.SA,2014-12-01,0.249687,0.255937,0.220625,0.240937,420444256,0.222933
MGLU3.SA,2015-01-01,0.240937,0.24375,0.200937,0.2125,240329600,0.196621
MGLU3.SA,2015-02-01,0.20875,0.21625,0.17875,0.189062,370614400,0.176828
